Number,codeLanguage,database,softwares,jobTitle,skills

0,['React'],[],[],Manager,[]

1,['React'],[],[],Project manager,"['Web Programming', 'User Testing', 'Data Modeling', 'Databases', 'Data Analysis & Reports', 'Project management', 'Profile Setup & Integration']"

2,['React'],[],[],UX Designer,['Web Programming']

3,['React'],[],[],Developer front-end,['Web Programming']

4,['React'],[],[],Developer back-end,['Web Programming']

5,['React'],[],[],Quality Assurance Engineer,[]

6,['React'],[],[],Manager,[]

7,['React'],[],[],Developer full-stack,['programa��o web java']

8,['React'],[],[],Manager,[]

9,['React'],[],[],UX / UI Designer,"['design', 'layout']"

